"typeName","type","value"
"BusinessCenter","enumeratedString","LVRI"
"BusinessCenter","enumeratedString","MACA"
"BusinessCenter","enumeratedString","MARA"
"BusinessCenter","enumeratedString","MCMO"
"BusinessCenter","enumeratedString","MOMA"
"BusinessCenter","enumeratedString","MTVA"
"BusinessCenter","enumeratedString","MUPL"
"BusinessCenter","enumeratedString","MVMA"
"BusinessCenter","enumeratedString","MWLI"
"BusinessCenter","enumeratedString","MXMC"
"BusinessCenter","enumeratedString","MYKL"
"BusinessCenter","enumeratedString","MYLA"
"BusinessCenter","enumeratedString","NAWI"
"BusinessCenter","enumeratedString","NGAB"
"BusinessCenter","enumeratedString","NGLA"
"BusinessCenter","enumeratedString","NLAM"
"BusinessCenter","enumeratedString","NLRO"
"BusinessCenter","enumeratedString","NOOS"
"BusinessCenter","enumeratedString","NPKA"
"BusinessCenter","enumeratedString","NYFD"
"BusinessCenter","enumeratedString","NYSE"
"BusinessCenter","enumeratedString","NZAU"
"BusinessCenter","enumeratedString","NZWE"
"BusinessCenter","enumeratedString","OMMU"
"BusinessCenter","enumeratedString","PAPC"
"BusinessCenter","enumeratedString","PELI"
"BusinessCenter","enumeratedString","PHMA"
"BusinessCenter","enumeratedString","PKKA"
"BusinessCenter","enumeratedString","PLWA"
"BusinessCenter","enumeratedString","PRSJ"
"BusinessCenter","enumeratedString","PTLI"
"BusinessCenter","enumeratedString","QADO"
"BusinessCenter","enumeratedString","ROBU"
"BusinessCenter","enumeratedString","RSBE"
"BusinessCenter","enumeratedString","RUMO"
"BusinessCenter","enumeratedString","SAAB"
"BusinessCenter","enumeratedString","SAJE"
"BusinessCenter","enumeratedString","SARI"
"BusinessCenter","enumeratedString","SEST"
"BusinessCenter","enumeratedString","SGSI"
"BusinessCenter","enumeratedString","SILJ"
"BusinessCenter","enumeratedString","SKBR"
"BusinessCenter","enumeratedString","SNDA"
"BusinessCenter","enumeratedString","THBA"
"BusinessCenter","enumeratedString","TNTU"
"BusinessCenter","enumeratedString","TRAN"
"BusinessCenter","enumeratedString","TRIS"
"BusinessCenter","enumeratedString","TTPS"
"BusinessCenter","enumeratedString","TWTA"
"BusinessCenter","enumeratedString","TZDA"
"BusinessCenter","enumeratedString","TZDO"
"BusinessCenter","enumeratedString","UAKI"
"BusinessCenter","enumeratedString","UGKA"
"BusinessCenter","enumeratedString","USBO"
"BusinessCenter","enumeratedString","USCH"
"BusinessCenter","enumeratedString","USCR"
"BusinessCenter","enumeratedString","USDC"
"BusinessCenter","enumeratedString","USDN"
"BusinessCenter","enumeratedString","USDT"
"BusinessCenter","enumeratedString","USGS"
"BusinessCenter","enumeratedString","USHL"
"BusinessCenter","enumeratedString","USHO"
"BusinessCenter","enumeratedString","USLA"
"BusinessCenter","enumeratedString","USMB"
"BusinessCenter","enumeratedString","USMN"
"BusinessCenter","enumeratedString","USNY"
"BusinessCenter","enumeratedString","USPO"
"BusinessCenter","enumeratedString","USSA"
"BusinessCenter","enumeratedString","USSE"
"BusinessCenter","enumeratedString","USWT"
"BusinessCenter","enumeratedString","UYMO"
"BusinessCenter","enumeratedString","VECA"
"BusinessCenter","enumeratedString","VGRT"
"BusinessCenter","enumeratedString","VNHA"
"BusinessCenter","enumeratedString","VNHC"
"BusinessCenter","enumeratedString","YEAD"
"BusinessCenter","enumeratedString","ZAJO"
"BusinessCenter","enumeratedString","ZMLU"
"BusinessCenter","enumeratedString","ZWHA"
"BusinessDayConvention","enumeratedString","FOLLOWING"
"BusinessDayConvention","enumeratedString","FRN"
"BusinessDayConvention","enumeratedString","MODFOLLOWING"
"BusinessDayConvention","enumeratedString","MODPRECEDING"
"BusinessDayConvention","enumeratedString","NEAREST"
"BusinessDayConvention","enumeratedString","NONE"
"BusinessDayConvention","enumeratedString","NotApplicable"
"BusinessDayConvention","enumeratedString","PRECEDING"
"CACIBCountryLists","enumeratedString","List1"
"CACIBCountryLists","enumeratedString","List2"
"CACIBCountryLists","enumeratedString","List3"
"CACIBISRClassifications","enumeratedString","ISR A"
"CACIBISRClassifications","enumeratedString","ISR B"
"CACIBISRClassifications","enumeratedString","ISR C"
"CACIBMaxMarginGrid","enumeratedString","Covered"
"CACIBMaxMarginGrid","enumeratedString","FX_Forward"
"CACIBMaxMarginGrid","enumeratedString","FX_PM_Option"
"CACIBMaxMarginGrid","enumeratedString","FX_PM_Spot"
"CACIBMaxMarginGrid","enumeratedString","FX_Swap"
"CACIBMaxMarginGrid","enumeratedString","Govies"
"CACIBMaxMarginGrid","enumeratedString","NotApplicable"
"CACIBMaxMarginGrid","enumeratedString","Other_Bonds_Flow"
"CACIBMaxMarginGrid","enumeratedString","PM_Forward"
"CACIBMaxMarginGrid","enumeratedString","PM_Swap"
"CACIBMaxMarginGrid","enumeratedString","Rates_Flow"
"CACIBMaxMarginGrid","enumeratedString","SSA"
"CACIBMaxMarginGrid","enumeratedString","Structured_Credit_Rate"
"CACIBMaxMarginGrid","enumeratedString","Structured_Equity_CrossAsset"
"CACIBMaxMarginGrid","enumeratedString","Structured_FX_PM"
"CACIBSalesLegalEntityStatus","enumeratedString","EEAEntity"
"CACIBSalesLegalEntityStatus","enumeratedString","NonEEABranchOfEEAParent"
"CACIBSalesLegalEntityStatus","enumeratedString","NonEEAEntity"
"CACIBSalesLegalEntityStatus","enumeratedString","NonEEASubofEEAParent"
"CACIBSalesLegalEntityStatus","enumeratedString","NotApplicable"
"CACIBTradeEvents","enumeratedString","Amend"
"CACIBTradeEvents","enumeratedString","Cancel"
"CACIBTradeEvents","enumeratedString","Decrease"
"CACIBTradeEvents","enumeratedString","Increase"
"CACIBTradeEvents","enumeratedString","New"
"CACIBTradeEvents","enumeratedString","NewBlockTrade"
"CSADirectionalityEnum","enumeratedString","bilateral"
"CSADirectionalityEnum","enumeratedString","oneway"
"CSADocTypeEnum","enumeratedString","IM"
"CSADocTypeEnum","enumeratedString","VM"
"CSARegimeEnum","enumeratedString","CFTC"
"CSARegimeEnum","enumeratedString","Canada"
"CSARegimeEnum","enumeratedString","EMIR"
"CSARegimeEnum","enumeratedString","Japan"
"CSARegimeEnum","enumeratedString","Prudential"
"CSARegimeEnum","enumeratedString","SEC"
"CSARegimeEnum","enumeratedString","Switzerland"
"CanadianPostalAbbreviations","enumeratedString","AB"
"CanadianPostalAbbreviations","enumeratedString","BC"
"CanadianPostalAbbreviations","enumeratedString","CA"
"CanadianPostalAbbreviations","enumeratedString","MB"
"CanadianPostalAbbreviations","enumeratedString","NB"
"CanadianPostalAbbreviations","enumeratedString","NL"
"CanadianPostalAbbreviations","enumeratedString","NS"
"CanadianPostalAbbreviations","enumeratedString","NT"
